submitting_lab	authors
Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
Center for Laboratory Medicine	Yannick Gerth et al
Center for Laboratory Medicine St. Gallen	Yannick Gerth et al
Clinical Bacteriology	Madlen Stange et al
Department of Biosystems Science and Engineering, ETH Zurich	Chaoran Chen et al
Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Genesupport	Tanguy ARAUD et al
Geneva Centre for Emerging Viral Diseases	Manel ESSAIDI-LAZIOSI et al
Genomics and Transcriptomics, Philip Morris International	Reto Lienhard et al
HUG, Laboratory of Virology and Universitätsspital Basel	Samuel Cordey et al
HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey et al
Hagmattstrasse 14, 4123 Allschwil, Switzerland	Andrea Patrizia Salzmann et al
Institute for Infectious Diseases	Stefan Neuenschwander et al
Institute for Infectious Diseases, University of Bern	Stefan Neuenschwander et al
Institute for Infectious Diseases, University of Bern, Switzerland	Michel C Koch et al
Institute of Medical Virology	Verena Kufner et al
Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Klinisch Laboratorium ZNA	Verstrepen et al.
Laboratorio di Microbiologia	Martinetti Lucchini Gladys et al
Laboratory of genomics and metagenomics	Trestan Pillonel et al
Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland	Trestan Pillonel et al
Microbiology, Dr. Risch	Nadia Wohlwend et al
Spiez Laboratory	Sarah Ryter et al
Swiss National Reference Centre for Influenza	Tim Roloff et al
Swiss National Reference Centre for Influenza Virology laboratory, CNRI	Tim Roloff et al
Swiss Tropical and Public Health Institute	Salome Hosch et al
Switzerland	Department of Biosystems Science et al
University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
University Hospital Basel, Clinical Virology	Hirsch et al
University Hospital Basel, Labormedizin	Hirsch et al
University Hospital Basel, Switzerland	Tim Roloff et al
University Hospitals of Geneva Laboratory of Virology	Laubscher F. et al
University Hospitals of Geneva, Laboratory of Virology	Cordey Samuel et al
Valais Hospital, Central Institute	Alexis Dumoulin et al
Valais Hospital, Central Institute, Sion and and the Health2030 Genome Center, Geneva	Alexis Dumoulin et al
Viollier AG	Andrea Patrizia Salzmann et al
